                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7268,                 3.7639,                 1.1946,                0.00459,                    0.5,                0.10338,                0.03101,                 2.9497,                 3.3458,                 1.6187,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.8487,                 3.7022,                 1.2196,                0.00459,                    0.5,                0.10209,                0.03065,                 2.8765,                 3.3696,                 1.5709,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.8191,                 3.7067,                 1.2108,                0.00455,                    0.5,                0.24875,                0.07462,                 2.8142,                 3.3894,                 1.5607,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                 1.6935,                 3.4963,                 1.2254,                0.00723,                      1,                0.62187,                0.21449,                 2.4968,                 3.3011,                 1.2619,             0.00011322,             0.00011322,             0.00011322
                      5,                  1.387,                 3.3464,                 1.0683,                0.00726,                      1,                0.80636,                0.17879,                  2.085,                 3.4071,                 1.3371,             0.00014409,             0.00014409,             0.00014409
                      6,                 1.1982,                 2.5243,                0.99082,                0.00683,                      1,                0.50253,                0.20001,                 2.4571,                 3.7068,                 1.8949,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.1294,                 1.7426,                0.97543,                0.00691,                      1,                0.50357,                0.15278,                 1.7428,                 3.7238,                 1.6079,             0.00020384,             0.00020384,             0.00020384
                      8,                0.98819,                 1.5645,                0.91046,                0.00668,                      1,                0.50357,                0.15289,                  1.784,                 3.7537,                 1.8601,             0.00023272,             0.00023272,             0.00023272
                      9,                0.89036,                 1.3316,                0.90459,                0.00669,                      1,                0.50396,                0.10351,                 2.0782,                 3.7945,                 2.1301,             0.00026095,             0.00026095,             0.00026095
                     10,                0.86613,                 1.4029,                0.89974,                0.00669,                      1,                0.50422,                 0.1041,                  2.061,                 3.7544,                 2.0566,             0.00028851,             0.00028851,             0.00028851
                     11,                0.78451,                 1.2323,                0.88013,                0.00669,                      1,                0.50482,                 0.2019,                 2.0511,                  3.703,                 1.9569,             0.00031541,             0.00031541,             0.00031541
                     12,                0.78621,                 1.2851,                0.90766,                 0.0067,                      1,                0.50527,                0.25029,                 2.0487,                 3.6007,                 1.8423,             0.00034166,             0.00034166,             0.00034166
                     13,                0.72714,                 1.1384,                0.88554,                0.00673,                      1,                0.25629,                0.17562,                 2.0676,                 3.5358,                 1.8446,             0.00036724,             0.00036724,             0.00036724
                     14,                0.70507,                 1.0444,                0.88857,                 0.0067,                      1,                 0.0229,                 0.0075,                 1.8592,                 3.6828,                 1.6953,             0.00039216,             0.00039216,             0.00039216
                     15,                0.74601,                 1.0333,                0.86683,                0.00669,                      1,                0.01732,                0.00613,                 1.9133,                 3.5035,                 1.5843,             0.00041643,             0.00041643,             0.00041643
                     16,                0.72512,                 0.9553,                0.86143,                0.00667,                      1,                0.50655,                0.30031,                 1.9373,                 3.3739,                 1.6263,             0.00044003,             0.00044003,             0.00044003
                     17,                0.68164,                0.96717,                 0.8725,                0.00667,                      1,                0.50707,                0.30036,                 1.8272,                 3.3524,                  1.596,             0.00046297,             0.00046297,             0.00046297
                     18,                0.74244,                  1.044,                0.88541,                0.00667,                      1,                0.50689,                0.30038,                 1.9081,                 3.4072,                 1.7238,             0.00048526,             0.00048526,             0.00048526
                     19,                0.74356,                 1.0601,                0.88586,                0.00669,                      1,                0.01746,                0.00732,                 1.8773,                 3.4046,                 1.5657,             0.00050688,             0.00050688,             0.00050688
                     20,                0.70854,                 1.0127,                0.83769,                0.00673,                      1,                0.01607,                0.00583,                 2.2317,                   3.35,                 1.5709,             0.00052784,             0.00052784,             0.00052784
